Sr. No,Section,Function Group,Function Description,Code,Description,Pradhikrut Vibhag,2011-12 Actual Expenditure,2012-13 Actual Expenditure,2013-14 Actual Expenditure,2014-13 Actual Expenditure,2015-16 final,2015-16 municipal commissioner,2015-16 standing committee,2016-17 municipal commissioner,2016-17 standing committee,,,
125,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Fire Services,A22600331524,_______ __________ _______ ____ ____,FIRE DEPT.,,1.15,0.94,0.00,2.00,2.00,2.00,2.00,2.00,,,
126,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Fire Services,A22600330825,_________ _____ _ ______ ______Ú______ ________ ________ _ ________ ____,FIRE DEPT.,,1.92,2.79,2.78,10.00,1.00,1.00,1.00,20.00,,,
127,A2 Revenue Expenditure,2 Public Works and Civic Amenities,City Transport/vehicle pool and workshop,A22702132126,______ _______ _____,WORK SHOP,,105.71,67.49,72.89,75.00,35.00,35.00,35.00,75.00,,,
128,A2 Revenue Expenditure,2 Public Works and Civic Amenities,City Transport/vehicle pool and workshop,A22702130127,_______ _____ ___ _____,WORK SHOP,,391.07,542.21,493.26,500.00,425.00,425.00,475.00,475.00,,,
129,A2 Revenue Expenditure,2 Public Works and Civic Amenities,City Transport/vehicle pool and workshop,A22702132128,____ ____ _____,WORK SHOP,,29.00,13.34,26.96,25.00,20.00,20.00,25.00,25.00,,,
130,A2 Revenue Expenditure,2 Public Works and Civic Amenities,City Transport/vehicle pool and workshop,A22702132129,______ _______ _ ___ _____ _____,WORK SHOP,,102.01,35.37,81.40,75.00,40.00,40.00,40.00,40.00,,,
131,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Municipal Market & Com. Complex,A22801330830,___________ ________/________/________,P.W.D.,,0.00,1.68,0.00,10.00,5.00,5.00,5.00,10.00,,,
132,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Municipal Market & Com. Complex,A22800730831,________ ________ _ ________ (_______ __. 50 ____ _______ ________ _____________ _____),MARKET DEPT.,,3.78,36.57,14.65,160.00,25.00,25.00,25.00,150.00,,,
133,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Municipal Market & Com. Complex,A22805130855,_________ ________ _______ 1 __________,Zone No. 1,,0.00,0.00,1.50,10.00,2.50,2.50,2.50,10.00,,,
134,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Municipal Market & Com. Complex,A22810130805,_________ ________ _______ 2 ______,Zone No. 2,,0.00,3.45,1.88,10.00,2.50,2.50,2.50,10.00,,,
135,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Municipal Market & Com. Complex,A22815130855,_________ ________ _______ 3 _________,Zone No. 3,,0.00,0.00,0.00,10.00,2.50,2.50,2.50,10.00,,,
136,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Municipal Market & Com. Complex,A22820130805,_________ ________ _______ 4 ______,Zone No. 4,,0.00,0.00,3.43,10.00,2.50,2.50,2.50,10.00,,,
137,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Municipal Market & Com. Complex,A22825130855,_________ ________ _______ 5 ________,Zone No. 5,,0.00,0.00,0.00,10.00,2.50,2.50,2.50,10.00,,,
138,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Municipal Market & Com. Complex,A22830130805,_________ ________ _______ 6 ________,Zone No. 6,,0.00,0.00,0.43,10.00,2.50,2.50,2.50,10.00,,,
139,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Municipal Market & Com. Complex,A22835130855,_________ ________ _______ 7 ___________,Zone No. 7,,0.00,0.00,1.50,10.00,2.50,2.50,2.50,10.00,,,
140,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Municipal Market & Com. Complex,A22840130805,_________ ________ _______ 8 ______,Zone No. 8,,0.00,0.00,0.00,10.00,2.50,2.50,2.50,10.00,,,
141,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Municipal Market & Com. Complex,A22845130855,_________ ________ _______ 9 ______,Zone No. 9,,0.00,2.11,1.66,10.00,2.50,2.50,2.50,10.00,,,
142,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Municipal Market & Com. Complex,A22850130805,_________ ________ _______ 10 ________,Zone No. 10,,0.00,0.00,4.25,10.00,2.50,2.50,2.50,10.00,,,
143,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Public/Buildings/Housing,A22301730832,_._.__. ______ _____ _______ _______,P.W.D. ELECTRICAL,,6.38,4.34,6.08,20.00,15.00,15.00,15.00,15.00,,,
144,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Public/Buildings/Housing,A22301730833,_._.__. ________ ________ ____,P.W.D. ELECTRICAL,,303.43,339.63,262.33,300.00,275.00,275.00,350.00,300.00,,,
145,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Public/Buildings/Housing,A22301730834,_._.__. ________ ____ _ ______ _________,P.W.D. ELECTRICAL,,5.27,23.00,2.78,10.00,7.00,7.00,5.00,10.00,,,
146,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Public/Buildings/Housing,A22901330835,_._.__. ________ ________ _ _______ ____  (_______ __. 50 ____ ______ ________ ____________ _____),P.W.D.,,13.21,10.87,31.18,50.00,40.00,40.00,40.00,100.00,,,
147,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Public/Buildings/Housing,A22905130856,_________ ________ _______ 1 __________,Zone No. 1,,0.00,0.90,4.90,5.00,4.00,4.00,4.00,5.00,,,
148,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Public/Buildings/Housing,A22910130806,_________ ________ _______ 2 ______,Zone No. 2,,0.00,1.35,2.92,5.00,4.00,4.00,4.00,5.00,,,
149,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Public/Buildings/Housing,A22915130856,_________ ________ _______ 3 _________,Zone No. 3,,0.00,1.54,2.93,5.00,4.00,4.00,4.00,5.00,,,
150,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Public/Buildings/Housing,A22920130806,_________ ________ _______ 4 ______,Zone No. 4,,0.00,3.74,2.14,5.00,4.00,4.00,4.00,5.00,,,
151,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Public/Buildings/Housing,A22925130856,_________ ________ _______ 5 ________,Zone No. 5,,0.00,0.37,3.88,5.00,4.00,4.00,4.00,5.00,,,
152,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Public/Buildings/Housing,A22930130806,_________ ________ _______ 6 ________,Zone No. 6,,0.00,0.86,4.95,5.00,4.00,4.00,4.00,5.00,,,
153,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Public/Buildings/Housing,A22935130856,_________ ________ _______ 7 ___________,Zone No. 7,,0.00,0.37,0.95,5.00,4.00,4.00,4.00,5.00,,,
154,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Public/Buildings/Housing,A22940130806,_________ ________ _______ 8 ______,Zone No. 8,,0.00,0.37,1.06,5.00,4.00,4.00,4.00,5.00,,,
155,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Public/Buildings/Housing,A22945130856,_________ ________ _______ 9 ______,Zone No. 9,,0.00,0.62,2.09,5.00,4.00,4.00,4.00,5.00,,,
156,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Public/Buildings/Housing,A22950130806,_________ ________ _______ 10 ________,Zone No. 10,,0.00,0.75,5.36,5.00,4.00,4.00,4.00,5.00,,,
157,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Public/Buildings/Housing,A22901330836,_._.__. __ ________ ________ _ ____ _________ ________ ________ _ ________ (________ _____________ __. 50 ____ _ ____ _________ __________ __. 25 ____ _____),P.W.D.,,78.94,56.48,92.33,75.00,100.00,80.00,100.00,75.00,,,
158,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Public/Buildings/Housing,A22901330837,"_______ ____ ________ _____, ___ ___ ______ ____ ____ ________ ________ _ ________",P.W.D.,,22.34,4.08,14.92,25.00,10.00,8.00,10.00,25.00,,,
159,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Public/Buildings/Housing,A22901330838,__. ____ ______ __________ _____ ________ _ ________,P.W.D.,,8.79,3.27,4.60,5.00,10.00,10.00,5.00,5.00,,,
160,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Public/Buildings/Housing,A22901330839,_._.__. __________ ________ _ ________ (_______ ____/____ _____/_______ ______) (_______ __. 50 ____ ______ ________ ___________ _____),P.W.D.,,29.92,7.83,26.36,50.00,20.00,20.00,20.00,100.00,,,
161,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Public/Buildings/Housing,A22905130857,_________ ________ _______ 1 __________,Zone No. 1,,0.00,0.58,4.15,5.00,2.00,2.00,2.00,5.00,,,
162,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Public/Buildings/Housing,A22910130807,_________ ________ _______ 2 ______,Zone No. 2,,0.00,2.40,2.95,5.00,2.00,2.00,2.00,5.00,,,
163,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Public/Buildings/Housing,A22915130857,_________ ________ _______ 3 _________,Zone No. 3,,0.00,0.11,2.27,5.00,2.00,2.00,2.00,5.00,,,
164,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Public/Buildings/Housing,A22920130807,_________ ________ _______ 4 ______,Zone No. 4,,0.00,0.09,2.71,5.00,2.00,2.00,2.00,5.00,,,
165,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Public/Buildings/Housing,A22925130857,_________ ________ _______ 5 ________,Zone No. 5,,0.00,0.58,1.81,5.00,2.00,2.00,2.00,5.00,,,
166,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Public/Buildings/Housing,A22930130807,_________ ________ _______ 6 ________,Zone No. 6,,0.00,0.09,2.51,5.00,2.00,2.00,2.00,5.00,,,
167,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Public/Buildings/Housing,A22935130857,_________ ________ _______ 7 ___________,Zone No. 7,,0.00,0.09,2.18,5.00,2.00,2.00,2.00,5.00,,,
168,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Public/Buildings/Housing,A22940130807,_________ ________ _______ 8 ______,Zone No. 8,,0.00,0.77,3.25,5.00,2.00,2.00,2.00,5.00,,,
169,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Public/Buildings/Housing,A22945130857,_________ ________ _______ 9 ______,Zone No. 9,,0.00,0.09,1.54,5.00,2.00,2.00,2.00,5.00,,,
170,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Public/Buildings/Housing,A22950130807,_________ ________ _______ 10 ________,Zone No. 10,,0.00,3.03,2.99,5.00,2.00,2.00,2.00,5.00,,,
171,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Fire Services,A22600340401,________ _________,FIRE DEPT.,,5.26,1.14,1.95,5.00,5.00,5.00,5.00,5.00,,,
172,A2 Revenue Expenditure,2 Public Works and Civic Amenities,Fire Services,A22600340102,________ _______ ___ (______ __________ ____),FIRE DEPT.,,0.75,0.00,0.00,15.00,5.00,5.00,5.00,15.00,,,
173,A2 Revenue Expenditure,2 Public Works and Civic Amenities,City Transport/vehicle pool and workshop,A22701540703,______ ______ ______ ___________ ____,TRAFFIC DEPT.,,5.00,7.00,10.00,20.00,10.00,10.00,1200.00,1500.00,,,
174,A2 Revenue Expenditure,3 Health,Public Health,A23001110001,________ ______ _______ ________,HEALTH (M),,138.19,108.23,136.00,150.00,200.00,200.00,225.00,225.00,,,
175,A2 Revenue Expenditure,3 Health,Epidemic/Prevention Control,A23101210002,________ ____ ______ ________ __________/___ _________/_______ _________/_________ _________/‘_‘ ____ _________,HEALTH (S),,1255.60,1351.04,1499.66,1500.00,1400.00,1400.00,1500.00,1500.00,,,
176,A2 Revenue Expenditure,3 Health,Family Planning,A23201110003,____ ______ _____/______ _____ ______/__________ ________ ____,HEALTH (M),,163.52,228.76,182.33,200.00,170.00,170.00,180.00,180.00,,,
177,A2 Revenue Expenditure,3 Health,Primary Health Care,A23301110004,______ ______ ________ ____,HEALTH (M),,101.97,133.54,307.04,300.00,300.00,300.00,325.00,325.00,,,
178,A2 Revenue Expenditure,3 Health,Hospital,A23301110005,________ _ _______ ______ ___ _ ____ ______ ________ ____,HEALTH (M),,901.60,878.07,835.87,900.00,750.00,750.00,750.00,750.00,,,
179,A2 Revenue Expenditure,3 Health,Cremation and Burial,A23501210006,_________ ________ ____,HEALTH (S),,8.36,9.29,10.32,15.00,12.00,12.00,15.00,15.00,,,
180,A2 Revenue Expenditure,3 Health,Sewerage,A23901310007,______ ____ ________ ____,P.W.D.,,86.87,89.44,98.40,90.00,100.00,100.00,105.00,105.00,,,
181,A2 Revenue Expenditure,3 Health,Sewerage,A23902310008,__________ ______ ________ ____,S.T.P.,,64.70,44.70,58.94,85.00,60.00,60.00,65.00,65.00,,,
182,A2 Revenue Expenditure,3 Health,Public Health,A23001122201,________ _______ ___________ (________ __________),HEALTH (M),,96.58,88.66,108.79,150.00,90.00,90.00,125.00,150.00,,,
183,A2 Revenue Expenditure,3 Health,Epidemic/Prevention Control,A23101222702,________ _____,HEALTH (S),,19.07,27.25,17.65,30.00,25.00,25.00,20.00,30.00,,,
184,A2 Revenue Expenditure,3 Health,Epidemic/Prevention Control,A23101122703,________ ________,HEALTH (M),,9.07,11.76,16.04,15.00,10.00,10.00,10.00,15.00,,,
185,A2 Revenue Expenditure,3 Health,Birth & Death Registration program,A23201122004,____-______ ____ ____,HEALTH (M),,3.59,18.12,25.25,30.00,20.00,20.00,15.00,30.00,,,
186,A2 Revenue Expenditure,3 Health,Birth & Death Registration program,A23201122005,______ ______ ______/______ ______ ______ ____,HEALTH (M),,0.97,0.49,0.98,2.00,2.00,2.00,2.00,2.00,,,
187,A2 Revenue Expenditure,3 Health,Primary Health Care,A23301122006,______ ___________ ____,HEALTH (M),,14.44,19.56,11.40,20.00,10.00,10.00,10.00,25.00,,,
188,A2 Revenue Expenditure,3 Health,Hospital,A23401130801,"___________ ________/________ ____ _______ _ _______ ____ (__. 50 ______ _______, ______ ________ _____________ _____)",HEALTH (M),,7.90,3.19,9.44,50.00,15.00,15.00,15.00,100.00,,,
189,A2 Revenue Expenditure,3 Health,Hospital,A23405130858,_________ ________ _______ 1 __________,Zone No. 1,,0.00,0.00,0.59,5.00,1.50,1.50,1.50,5.00,,,
190,A2 Revenue Expenditure,3 Health,Hospital,A23410130808,_________ ________ _______ 2 ______,Zone No. 2,,0.00,0.00,1.30,5.00,1.50,1.50,1.50,5.00,,,
191,A2 Revenue Expenditure,3 Health,Hospital,A23415130858,_________ ________ _______ 3 _________,Zone No. 3,,0.00,0.00,0.00,5.00,1.50,1.50,1.50,5.00,,,
192,A2 Revenue Expenditure,3 Health,Hospital,A23420130808,_________ ________ _______ 4 ______,Zone No. 4,,0.00,0.62,0.50,5.00,1.50,1.50,1.50,5.00,,,
193,A2 Revenue Expenditure,3 Health,Hospital,A23425130858,_________ ________ _______ 5 ________,Zone No. 5,,0.00,0.00,0.69,5.00,1.50,1.50,1.50,5.00,,,
194,A2 Revenue Expenditure,3 Health,Hospital,A23430130808,_________ ________ _______ 6 ________,Zone No. 6,,0.00,0.00,0.42,5.00,1.50,1.50,1.50,5.00,,,
195,A2 Revenue Expenditure,3 Health,Hospital,A23435130858,_________ ________ _______ 7 ___________,Zone No. 7,,0.00,0.00,1.20,5.00,1.50,1.50,1.50,5.00,,,
196,A2 Revenue Expenditure,3 Health,Hospital,A23440130808,_________ ________ _______ 8 ______,Zone No. 8,,0.00,0.00,1.12,5.00,1.50,1.50,1.50,5.00,,,
197,A2 Revenue Expenditure,3 Health,Hospital,A23445130858,_________ ________ _______ 9 ______,Zone No. 9,,0.00,0.43,0.00,5.00,1.50,1.50,1.50,5.00,,,
198,A2 Revenue Expenditure,3 Health,Hospital,A23450130808,_________ ________ _______ 10 ________,Zone No. 10,,0.00,2.14,3.62,5.00,1.50,1.50,1.50,5.00,,,
199,A2 Revenue Expenditure,3 Health,Hospital,A23401130802,_._.__. ____ ____ ____________ ________ _ ____ ____ (1) _______ ________ _____ __. 7.00 ____ _____,HEALTH (M),,48.63,36.76,43.54,75.00,25.00,25.00,25.00,75.00,,,
200,A2 Revenue Expenditure,3 Health,Hospital,A23401130803,_________ ________ ____,HEALTH (M),,8.21,6.72,6.02,15.00,5.00,5.00,5.00,15.00,,,
201,A2 Revenue Expenditure,3 Health,Hospital,A23401130804,______ _____ ________ ________ ____ ______ ________ ______ ______ _______ ____________ __________ ____ ______,HEALTH (M),,19.86,10.36,12.21,65.00,15.00,15.00,65.00,65.00,,,
202,A2 Revenue Expenditure,3 Health,Hospital,A23401130805,___ ___ _____ ______ ________ ____,HEALTH (M),,6.93,3.67,5.91,5.00,3.00,3.00,5.00,10.00,,,
203,A2 Revenue Expenditure,3 Health,Cremation and Burial,A23501130806,_____ ___ ___ _ __.__.__. __ ______ __ ________ ____,HEALTH (M),,7.38,9.53,11.73,50.00,15.00,15.00,20.00,50.00,,,
204,A2 Revenue Expenditure,3 Health,Cremation and Burial,A23501130807,"___ ______/____________ _______/________ ____ ______, ________ ____",HEALTH (M),,10.59,1.78,46.74,200.00,100.00,200.00,50.00,300.00,,,
205,A2 Revenue Expenditure,3 Health,Ambulance/Hearse Services,A23701130808,___________ ________ ____,HEALTH (M),,0.90,0.00,0.00,1.00,1.00,1.00,1.00,1.00,,,
206,A2 Revenue Expenditure,3 Health,Water Supply,A23801330809,_________ ________ _______/________ (_________ ________ ____ __________ __. 30 ____ ______ ________ ___________ _____ ________ __________ ________ ____),P.W.D.,,4.39,3.26,7.49,30.00,10.00,10.00,10.00,60.00,,,
207,A2 Revenue Expenditure,3 Health,Water Supply,A23805130859,_________ ________ _______ 1 __________,Zone No. 1,,0.00,0.49,0.45,3.00,1.00,1.00,1.00,3.00,,,
208,A2 Revenue Expenditure,3 Health,Water Supply,A23810130809,_________ ________ _______ 2 ______,Zone No. 2,,0.00,0.00,0.49,3.00,1.00,1.00,1.00,3.00,,,
209,A2 Revenue Expenditure,3 Health,Water Supply,A23815130859,_________ ________ _______ 3 _________,Zone No. 3,,0.00,1.45,1.45,3.00,1.00,1.00,1.00,3.00,,,
210,A2 Revenue Expenditure,3 Health,Water Supply,A23820130809,_________ ________ _______ 4 ______,Zone No. 4,,0.00,0.00,1.49,3.00,1.00,1.00,1.00,3.00,,,
211,A2 Revenue Expenditure,3 Health,Water Supply,A23825130859,_________ ________ _______ 5 ________,Zone No. 5,,0.00,0.00,0.44,3.00,1.00,1.00,1.00,3.00,,,
212,A2 Revenue Expenditure,3 Health,Water Supply,A23830130809,_________ ________ _______ 6 ________,Zone No. 6,,0.00,1.32,0.00,3.00,1.00,1.00,1.00,3.00,,,
213,A2 Revenue Expenditure,3 Health,Water Supply,A23835130859,_________ ________ _______ 7 ___________,Zone No. 7,,0.00,0.00,0.00,3.00,1.00,1.00,1.00,3.00,,,
214,A2 Revenue Expenditure,3 Health,Water Supply,A23840130809,_________ ________ _______ 8 ______,Zone No. 8,,0.00,0.00,0.00,3.00,1.00,1.00,1.00,3.00,,,
215,A2 Revenue Expenditure,3 Health,Water Supply,A23845130859,_________ ________ _______ 9 ______,Zone No. 9,,0.00,0.00,1.20,3.00,1.00,1.00,1.00,3.00,,,
216,A2 Revenue Expenditure,3 Health,Water Supply,A23850130809,_________ ________ _______ 10 ________,Zone No. 10,,0.00,0.00,1.97,3.00,1.00,1.00,1.00,3.00,,,
217,A2 Revenue Expenditure,3 Health,Water Supply,A23801930910,________ ____,WATER WORKS,,5113.32,5113.77,5760.58,4500.00,5800.00,5550.00,6450.00,5500.00,,,
218,A2 Revenue Expenditure,3 Health,Water Supply,A23801931111,_________________ _____ ________ ____,WATER WORKS,,1266.58,1170.57,1129.41,1200.00,900.00,900.00,1200.00,1000.00,,,
219,A2 Revenue Expenditure,3 Health,Water Supply,A23801730812,__________ ___ ________/________ ,P.W.D. ELECTRICAL,,14.16,10.06,10.48,15.00,10.00,10.00,10.00,10.00,,,
220,A2 Revenue Expenditure,3 Health,Sewerage,A23901231513,"___ ____ ____ _ ______ ____/________ ________ _______ ____ (1) _________ _____ ____________ __. 10 ____ _____ (2) _____ ___ __. 10 ____ _______ 10 ________ __. 100 ____ _____ (3) __________ _______ ________ ____ ____ ____Ú__ __________ ________ _____ _______ ____Ú__ ______ ____ __________ __. 100 ____ _____ (4) ___, ____ ____ _ ______ ____/_________ ______ _______ __________ ___________ ________ __________ __. 100 ____ _____ ",HEALTH (S),,88.91,7.29,40.70,100.00,10.00,10.00,10.00,400.00,,,
221,A2 Revenue Expenditure,3 Health,Sewerage,A23901332014,"______ _____ _ _____ _____ (_________ _______________ __________ ______ __________ ____________ __.__. _____ _____ ______ _____ ____ _______ __. 100 ____ _______, ______ ________ ___________ _____)",P.W.D.,,30.91,35.93,104.24,200.00,50.00,50.00,50.00,250.00,,,
222,A2 Revenue Expenditure,3 Health,Sewerage,A23905132060,_________ ________ _______ 1 __________,Zone No. 1,,0.00,3.45,10.87,15.00,5.00,5.00,5.00,15.00,,,
223,A2 Revenue Expenditure,3 Health,Sewerage,A23910132010,_________ ________ _______ 2 ______,Zone No. 2,,0.00,5.88,12.63,15.00,5.00,5.00,5.00,15.00,,,
224,A2 Revenue Expenditure,3 Health,Sewerage,A23915132060,_________ ________ _______ 3 _________,Zone No. 3,,0.00,4.96,19.29,15.00,5.00,5.00,5.00,15.00,,,
225,A2 Revenue Expenditure,3 Health,Sewerage,A23920132010,_________ ________ _______ 4 ______,Zone No. 4,,0.00,0.99,7.36,15.00,5.00,5.00,5.00,15.00,,,
226,A2 Revenue Expenditure,3 Health,Sewerage,A23925132060,_________ ________ _______ 5 ________,Zone No. 5,,0.00,0.98,2.97,15.00,5.00,5.00,5.00,15.00,,,
227,A2 Revenue Expenditure,3 Health,Sewerage,A23930132010,_________ ________ _______ 6 ________,Zone No. 6,,0.00,4.33,9.32,15.00,5.00,5.00,5.00,15.00,,,
228,A2 Revenue Expenditure,3 Health,Sewerage,A23935132060,_________ ________ _______ 7 ___________,Zone No. 7,,0.00,2.84,4.46,15.00,5.00,5.00,5.00,15.00,,,
229,A2 Revenue Expenditure,3 Health,Sewerage,A23940132010,_________ ________ _______ 8 ______,Zone No. 8,,0.00,0.91,12.40,15.00,5.00,5.00,5.00,15.00,,,
230,A2 Revenue Expenditure,3 Health,Sewerage,A23945132060,_________ ________ _______ 9 ______,Zone No. 9,,0.00,3.97,9.87,15.00,5.00,5.00,5.00,15.00,,,
231,A2 Revenue Expenditure,3 Health,Sewerage,A23950132010,_________ ________ _______ 10 ________,Zone No. 10,,0.00,7.62,15.07,15.00,5.00,5.00,5.00,15.00,,,
232,A2 Revenue Expenditure,3 Health,Sewerage,A23901330815,"____ ________ _ ________ ____ (_______ __. 50 ____ _____, ______ ________ ____________ _____)",P.W.D.,,20.94,28.68,91.03,250.00,100.00,100.00,100.00,250.00,,,
233,A2 Revenue Expenditure,3 Health,Sewerage,A23905130861,_________ ________ _______ 1 __________,Zone No. 1,,0.00,0.00,7.11,20.00,10.00,10.00,10.00,20.00,,,
234,A2 Revenue Expenditure,3 Health,Sewerage,A23910130811,_________ ________ _______ 2 ______,Zone No. 2,,0.00,3.44,8.77,20.00,10.00,10.00,10.00,20.00,,,
235,A2 Revenue Expenditure,3 Health,Sewerage,A23915130861,_________ ________ _______ 3 _________,Zone No. 3,,0.00,1.66,10.17,20.00,10.00,10.00,10.00,20.00,,,
236,A2 Revenue Expenditure,3 Health,Sewerage,A23920130811,_________ ________ _______ 4 ______,Zone No. 4,,0.00,0.49,8.18,20.00,10.00,10.00,10.00,20.00,,,
237,A2 Revenue Expenditure,3 Health,Sewerage,A23925130861,_________ ________ _______ 5 ________,Zone No. 5,,0.00,1.45,8.55,20.00,10.00,10.00,10.00,20.00,,,
238,A2 Revenue Expenditure,3 Health,Sewerage,A23930130811,_________ ________ _______ 6 ________,Zone No. 6,,0.00,2.83,8.91,20.00,10.00,10.00,10.00,20.00,,,
239,A2 Revenue Expenditure,3 Health,Sewerage,A23935130861,_________ ________ _______ 7 ___________,Zone No. 7,,0.00,4.33,9.13,20.00,10.00,10.00,10.00,20.00,,,
240,A2 Revenue Expenditure,3 Health,Sewerage,A23940130811,_________ ________ _______ 8 ______,Zone No. 8,,0.00,0.00,8.13,20.00,10.00,10.00,10.00,20.00,,,
241,A2 Revenue Expenditure,3 Health,Sewerage,A23945130861,_________ ________ _______ 9 ______,Zone No. 9,,0.00,6.81,12.93,20.00,10.00,10.00,10.00,20.00,,,
242,A2 Revenue Expenditure,3 Health,Sewerage,A23950130811,_________ ________ _______ 10 ________,Zone No. 10,,0.00,7.67,9.15,20.00,10.00,10.00,10.00,20.00,,,
243,A2 Revenue Expenditure,3 Health,Sewerage,A23901330816,"___ ___ ________ (____ _______ _______________ ______ ________ ______ ___ ___ ____ _____________ ______ _________ ___ ___ _______ ____ ______ _______ __. 100 ____ _______, ______ ________ ____________ _____)",P.W.D.,,74.53,55.98,137.61,200.00,75.00,75.00,50.00,300.00,,,
244,A2 Revenue Expenditure,3 Health,Sewerage,A23905130862,_________ ________ _______ 1 __________,Zone No. 1,,0.00,5.06,11.83,20.00,7.50,7.50,5.00,20.00,,,
245,A2 Revenue Expenditure,3 Health,Sewerage,A23910130812,_________ ________ _______ 2 ______,Zone No. 2,,0.00,9.48,5.35,20.00,7.50,7.50,5.00,20.00,,,
246,A2 Revenue Expenditure,3 Health,Sewerage,A23915130862,_________ ________ _______ 3 _________,Zone No. 3,,0.00,5.24,15.21,20.00,7.50,7.50,5.00,20.00,,,
247,A2 Revenue Expenditure,3 Health,Sewerage,A23920130812,_________ ________ _______ 4 ______,Zone No. 4,,0.00,4.24,8.69,20.00,7.50,7.50,5.00,20.00,,,
248,A2 Revenue Expenditure,3 Health,Sewerage,A23925130862,_________ ________ _______ 5 ________,Zone No. 5,,0.00,3.59,14.28,20.00,7.50,7.50,5.00,20.00,,,
249,A2 Revenue Expenditure,3 Health,Sewerage,A23930130812,_________ ________ _______ 6 ________,Zone No. 6,,0.00,5.85,7.69,20.00,7.50,7.50,5.00,20.00,,,
250,A2 Revenue Expenditure,3 Health,Sewerage,A23935130862,_________ ________ _______ 7 ___________,Zone No. 7,,0.00,5.00,15.82,20.00,7.50,7.50,5.00,20.00,,,
251,A2 Revenue Expenditure,3 Health,Sewerage,A23940130812,_________ ________ _______ 8 ______,Zone No. 8,,0.00,7.09,8.56,20.00,7.50,7.50,5.00,20.00,,,
252,A2 Revenue Expenditure,3 Health,Sewerage,A23945130862,_________ ________ _______ 9 ______,Zone No. 9,,0.00,3.28,34.86,20.00,7.50,7.50,5.00,20.00,,,
253,A2 Revenue Expenditure,3 Health,Sewerage,A23950130812,_________ ________ _______ 10 ________,Zone No. 10,,0.00,7.15,15.32,20.00,7.50,7.50,5.00,20.00,,,
254,A2 Revenue Expenditure,3 Health,Sewerage,A23901330817,______ ____ __ _______/________/________ ____ ,P.W.D.,,156.11,130.71,205.29,500.00,200.00,200.00,100.00,500.00,,,
255,A2 Revenue Expenditure,3 Health,Sewerage,A23905163,_________ ________ _______ 1 __________,Zone No. 1,,0.00,6.59,25.15,50.00,20.00,20.00,10.00,50.00,,,
256,A2 Revenue Expenditure,3 Health,Sewerage,A23910130813,_________ ________ _______ 2 ______,Zone No. 2,,0.00,16.34,31.75,50.00,20.00,20.00,10.00,50.00,,,
257,A2 Revenue Expenditure,3 Health,Sewerage,A23915130863,_________ ________ _______ 3 _________,Zone No. 3,,0.00,6.17,20.48,50.00,20.00,20.00,10.00,50.00,,,
258,A2 Revenue Expenditure,3 Health,Sewerage,A23920130813,_________ ________ _______ 4 ______,Zone No. 4,,0.00,9.63,19.80,50.00,20.00,20.00,10.00,50.00,,,
