Sr. No,Section,Function Group,Function Description,Code,Description,Pradhikrut Vibhag,2011-12 Actual Expenditure,2012-13 Actual Expenditure,2013-14 Actual Expenditure,2014-13 Actual Expenditure,2015-16 final,2015-16 municipal commissioner,2015-16 standing committee,2016-17 municipal commissioner,2016-17 standing committee,,,
195,A2 Revenue Expenditure,3 Health,Hospital,A23435130858,क्षेत्रिय कार्यालय क्रमांक 7 संतरंजीपुरा,Zone No. 7,,0.00,0.00,1.20,5.00,1.50,1.50,1.50,5.00,,,
196,A2 Revenue Expenditure,3 Health,Hospital,A23440130808,क्षेत्रिय कार्यालय क्रमांक 8 लकडगंज,Zone No. 8,,0.00,0.00,1.12,5.00,1.50,1.50,1.50,5.00,,,
197,A2 Revenue Expenditure,3 Health,Hospital,A23445130858,क्षेत्रिय कार्यालय क्रमांक 9 आशीनगर,Zone No. 9,,0.00,0.43,0.00,5.00,1.50,1.50,1.50,5.00,,,
198,A2 Revenue Expenditure,3 Health,Hospital,A23450130808,क्षेत्रिय कार्यालय क्रमांक 10 मंगळवारी,Zone No. 10,,0.00,2.14,3.62,5.00,1.50,1.50,1.50,5.00,,,
199,A2 Revenue Expenditure,3 Health,Hospital,A23401130802,म.न.पा. च्या सर्व दवाखान्यांचा प्रवर्तन व औषधी व्यय (1) पंचकर्म चिकीत्सा करीता रु. 7.00 लक्ष राखीव,HEALTH (M),,48.63,36.76,43.54,75.00,25.00,25.00,25.00,75.00,,,
200,A2 Revenue Expenditure,3 Health,Hospital,A23401130803,सुतीकागृह प्रर्वतन व्यय,HEALTH (M),,8.21,6.72,6.02,15.00,5.00,5.00,5.00,15.00,,,
201,A2 Revenue Expenditure,3 Health,Hospital,A23401130804,इंदिरा गांधी रुग्णालय प्रवर्तन व्यय स्वामी रामकृष्ण परमहंस स्मृती कर्करोग रुग्णांकरीता केमोथेरेपी सेवा केंद्र,HEALTH (M),,19.86,10.36,12.21,65.00,15.00,15.00,65.00,65.00,,,
202,A2 Revenue Expenditure,3 Health,Hospital,A23401130805,सदर रोग निदान केंद्र प्रवर्तन व्यय,HEALTH (M),,6.93,3.67,5.91,5.00,3.00,3.00,5.00,10.00,,,
203,A2 Revenue Expenditure,3 Health,Cremation and Burial,A23501130806,डिझेल दहन गृह व एल.पी.जी. शव दाहीनी चा प्रवर्तन व्यय,HEALTH (M),,7.38,9.53,11.73,50.00,15.00,15.00,20.00,50.00,,,
204,A2 Revenue Expenditure,3 Health,Cremation and Burial,A23501130807,"दहन घाटाची/कब्रस्तानाची दृरुसती/सुस्थिती तसेच संयोजन, परिवर्तन करणे",HEALTH (M),,10.59,1.78,46.74,200.00,100.00,200.00,50.00,300.00,,,
205,A2 Revenue Expenditure,3 Health,Ambulance/Hearse Services,A23701130808,रुग्णवाहिका प्रर्वतन व्यय,HEALTH (M),,0.90,0.00,0.00,1.00,1.00,1.00,1.00,1.00,,,
206,A2 Revenue Expenditure,3 Health,Water Supply,A23801330809,सार्वजनिक विहीरीची दुरुसती/सुस्थिती (सार्वजनिक विहीरीचा उपसा करण्यासाठी रु. 30 लक्ष स्थायी समितीकडे प्रावधासाठी राखीव जलप्रदाय विभागाकडून करावयाची कामे),P.W.D.,,4.39,3.26,7.49,30.00,10.00,10.00,10.00,60.00,,,
207,A2 Revenue Expenditure,3 Health,Water Supply,A23805130859,क्षेत्रिय कार्यालय क्रमांक 1 लक्ष्मीनगर,Zone No. 1,,0.00,0.49,0.45,3.00,1.00,1.00,1.00,3.00,,,
208,A2 Revenue Expenditure,3 Health,Water Supply,A23810130809,क्षेत्रिय कार्यालय क्रमांक 2 धरमपेठ,Zone No. 2,,0.00,0.00,0.49,3.00,1.00,1.00,1.00,3.00,,,
209,A2 Revenue Expenditure,3 Health,Water Supply,A23815130859,क्षेत्रिय कार्यालय क्रमांक 3 हनुमाननगर,Zone No. 3,,0.00,1.45,1.45,3.00,1.00,1.00,1.00,3.00,,,
210,A2 Revenue Expenditure,3 Health,Water Supply,A23820130809,क्षेत्रिय कार्यालय क्रमांक 4 धंतोली,Zone No. 4,,0.00,0.00,1.49,3.00,1.00,1.00,1.00,3.00,,,
211,A2 Revenue Expenditure,3 Health,Water Supply,A23825130859,क्षेत्रिय कार्यालय क्रमांक 5 नेहरुनगर,Zone No. 5,,0.00,0.00,0.44,3.00,1.00,1.00,1.00,3.00,,,
212,A2 Revenue Expenditure,3 Health,Water Supply,A23830130809,क्षेत्रिय कार्यालय क्रमांक 6 गांधीबाग,Zone No. 6,,0.00,1.32,0.00,3.00,1.00,1.00,1.00,3.00,,,
213,A2 Revenue Expenditure,3 Health,Water Supply,A23835130859,क्षेत्रिय कार्यालय क्रमांक 7 संतरंजीपुरा,Zone No. 7,,0.00,0.00,0.00,3.00,1.00,1.00,1.00,3.00,,,
214,A2 Revenue Expenditure,3 Health,Water Supply,A23840130809,क्षेत्रिय कार्यालय क्रमांक 8 लकडगंज,Zone No. 8,,0.00,0.00,0.00,3.00,1.00,1.00,1.00,3.00,,,
215,A2 Revenue Expenditure,3 Health,Water Supply,A23845130859,क्षेत्रिय कार्यालय क्रमांक 9 आशीनगर,Zone No. 9,,0.00,0.00,1.20,3.00,1.00,1.00,1.00,3.00,,,
216,A2 Revenue Expenditure,3 Health,Water Supply,A23850130809,क्षेत्रिय कार्यालय क्रमांक 10 मंगळवारी,Zone No. 10,,0.00,0.00,1.97,3.00,1.00,1.00,1.00,3.00,,,
217,A2 Revenue Expenditure,3 Health,Water Supply,A23801930910,वि़द्युत खर्च,WATER WORKS,,5113.32,5113.77,5760.58,4500.00,5800.00,5550.00,6450.00,5500.00,,,
218,A2 Revenue Expenditure,3 Health,Water Supply,A23801931111,पेंचप्रकल्पापासून पपाणी घेण्याचा खर्च,WATER WORKS,,1266.58,1170.57,1129.41,1200.00,900.00,900.00,1200.00,1000.00,,,
219,A2 Revenue Expenditure,3 Health,Water Supply,A23801730812,विहीरीवरील पंप दुरुस्ती/सुस्थिती ,P.W.D. ELECTRICAL,,14.16,10.06,10.48,15.00,10.00,10.00,10.00,10.00,,,
220,A2 Revenue Expenditure,3 Health,Sewerage,A23901231513,"तळे मोठे नाले व भूमिगत नाली/आयआरडीपी नाल्याची साफसफाई करणे (1) गांधीसागर तलावा स्वच्छतेसाठी रु. 10 लक्ष राखीव (2) प्रती झोन रु. 10 लक्ष प्रमाणे 10 झोनकरीता रु. 100 लक्ष राखीव (3) नागनदीच्या संरक्षण भिंतीलगत आतील भगात असणाÚया पाण्याच्या प्रवाहास अडथळा निर्माण करणाÚया मातीचा उपसा करण्यासाठी रु. 100 लक्ष राखीव (4) तळे, मोठे नाले व भुमीगत नाली/आयआरडीपीप नालीची साफसफाई करण्यासाठी यंत्रसामुगी किरायाने घेण्यासाठी रु. 100 लक्ष राखीव ",HEALTH (S),,88.91,7.29,40.70,100.00,10.00,10.00,10.00,400.00,,,
221,A2 Revenue Expenditure,3 Health,Sewerage,A23901332014,"मेनहोल कव्हर व जाळया खरेदी (क्षेत्रिय कार्यालयातंर्गत प्रभागातील प्रमुख रस्त्यांवर प्राधान्याने डी.आय. कव्हर लावणे आवश्यक राहील तसेच उर्वरीत रु. 100 लक्ष अध्यक्ष, स्थायी समितीकडे प्रावधासाठी राखीव)",P.W.D.,,30.91,35.93,104.24,200.00,50.00,50.00,50.00,250.00,,,
222,A2 Revenue Expenditure,3 Health,Sewerage,A23905132060,क्षेत्रिय कार्यालय क्रमांक 1 लक्ष्मीनगर,Zone No. 1,,0.00,3.45,10.87,15.00,5.00,5.00,5.00,15.00,,,
223,A2 Revenue Expenditure,3 Health,Sewerage,A23910132010,क्षेत्रिय कार्यालय क्रमांक 2 धरमपेठ,Zone No. 2,,0.00,5.88,12.63,15.00,5.00,5.00,5.00,15.00,,,
224,A2 Revenue Expenditure,3 Health,Sewerage,A23915132060,क्षेत्रिय कार्यालय क्रमांक 3 हनुमाननगर,Zone No. 3,,0.00,4.96,19.29,15.00,5.00,5.00,5.00,15.00,,,
225,A2 Revenue Expenditure,3 Health,Sewerage,A23920132010,क्षेत्रिय कार्यालय क्रमांक 4 धंतोली,Zone No. 4,,0.00,0.99,7.36,15.00,5.00,5.00,5.00,15.00,,,
226,A2 Revenue Expenditure,3 Health,Sewerage,A23925132060,क्षेत्रिय कार्यालय क्रमांक 5 नेहरुनगर,Zone No. 5,,0.00,0.98,2.97,15.00,5.00,5.00,5.00,15.00,,,
227,A2 Revenue Expenditure,3 Health,Sewerage,A23930132010,क्षेत्रिय कार्यालय क्रमांक 6 गांधीबाग,Zone No. 6,,0.00,4.33,9.32,15.00,5.00,5.00,5.00,15.00,,,
228,A2 Revenue Expenditure,3 Health,Sewerage,A23935132060,क्षेत्रिय कार्यालय क्रमांक 7 संतरंजीपुरा,Zone No. 7,,0.00,2.84,4.46,15.00,5.00,5.00,5.00,15.00,,,
229,A2 Revenue Expenditure,3 Health,Sewerage,A23940132010,क्षेत्रिय कार्यालय क्रमांक 8 लकडगंज,Zone No. 8,,0.00,0.91,12.40,15.00,5.00,5.00,5.00,15.00,,,
230,A2 Revenue Expenditure,3 Health,Sewerage,A23945132060,क्षेत्रिय कार्यालय क्रमांक 9 आशीनगर,Zone No. 9,,0.00,3.97,9.87,15.00,5.00,5.00,5.00,15.00,,,
231,A2 Revenue Expenditure,3 Health,Sewerage,A23950132010,क्षेत्रिय कार्यालय क्रमांक 10 मंगळवारी,Zone No. 10,,0.00,7.62,15.07,15.00,5.00,5.00,5.00,15.00,,,
232,A2 Revenue Expenditure,3 Health,Sewerage,A23901330815,"नाले सुस्थीती व दुरुस्ती करणे (उर्वरीत रु. 50 लक्ष अध्यख, स्थायी समितीकडे प्रावधनासाठी राखीव)",P.W.D.,,20.94,28.68,91.03,250.00,100.00,100.00,100.00,250.00,,,
233,A2 Revenue Expenditure,3 Health,Sewerage,A23905130861,क्षेत्रिय कार्यालय क्रमांक 1 लक्ष्मीनगर,Zone No. 1,,0.00,0.00,7.11,20.00,10.00,10.00,10.00,20.00,,,
234,A2 Revenue Expenditure,3 Health,Sewerage,A23910130811,क्षेत्रिय कार्यालय क्रमांक 2 धरमपेठ,Zone No. 2,,0.00,3.44,8.77,20.00,10.00,10.00,10.00,20.00,,,
235,A2 Revenue Expenditure,3 Health,Sewerage,A23915130861,क्षेत्रिय कार्यालय क्रमांक 3 हनुमाननगर,Zone No. 3,,0.00,1.66,10.17,20.00,10.00,10.00,10.00,20.00,,,
236,A2 Revenue Expenditure,3 Health,Sewerage,A23920130811,क्षेत्रिय कार्यालय क्रमांक 4 धंतोली,Zone No. 4,,0.00,0.49,8.18,20.00,10.00,10.00,10.00,20.00,,,
237,A2 Revenue Expenditure,3 Health,Sewerage,A23925130861,क्षेत्रिय कार्यालय क्रमांक 5 नेहरुनगर,Zone No. 5,,0.00,1.45,8.55,20.00,10.00,10.00,10.00,20.00,,,
238,A2 Revenue Expenditure,3 Health,Sewerage,A23930130811,क्षेत्रिय कार्यालय क्रमांक 6 गांधीबाग,Zone No. 6,,0.00,2.83,8.91,20.00,10.00,10.00,10.00,20.00,,,
239,A2 Revenue Expenditure,3 Health,Sewerage,A23935130861,क्षेत्रिय कार्यालय क्रमांक 7 संतरंजीपुरा,Zone No. 7,,0.00,4.33,9.13,20.00,10.00,10.00,10.00,20.00,,,
240,A2 Revenue Expenditure,3 Health,Sewerage,A23940130811,क्षेत्रिय कार्यालय क्रमांक 8 लकडगंज,Zone No. 8,,0.00,0.00,8.13,20.00,10.00,10.00,10.00,20.00,,,
241,A2 Revenue Expenditure,3 Health,Sewerage,A23945130861,क्षेत्रिय कार्यालय क्रमांक 9 आशीनगर,Zone No. 9,,0.00,6.81,12.93,20.00,10.00,10.00,10.00,20.00,,,
242,A2 Revenue Expenditure,3 Health,Sewerage,A23950130811,क्षेत्रिय कार्यालय क्रमांक 10 मंगळवारी,Zone No. 10,,0.00,7.67,9.15,20.00,10.00,10.00,10.00,20.00,,,
243,A2 Revenue Expenditure,3 Health,Sewerage,A23901330816,"मेन होल दूरुस्ती (ज्या खेत्रिय कार्यालयातंर्गत जून्या वस्तींचा समावेश आहे अशा सर्व वस्त्यांमध्ये सिमेंट कॉक्रीटचे मेन होल निर्माण करणे आवश्यक उर्वरीत रु. 100 लक्ष अध्यक्ष, स्थायी समितीकडे प्रावधनासाठी राखीव)",P.W.D.,,74.53,55.98,137.61,200.00,75.00,75.00,50.00,300.00,,,
244,A2 Revenue Expenditure,3 Health,Sewerage,A23905130862,क्षेत्रिय कार्यालय क्रमांक 1 लक्ष्मीनगर,Zone No. 1,,0.00,5.06,11.83,20.00,7.50,7.50,5.00,20.00,,,
245,A2 Revenue Expenditure,3 Health,Sewerage,A23910130812,क्षेत्रिय कार्यालय क्रमांक 2 धरमपेठ,Zone No. 2,,0.00,9.48,5.35,20.00,7.50,7.50,5.00,20.00,,,
246,A2 Revenue Expenditure,3 Health,Sewerage,A23915130862,क्षेत्रिय कार्यालय क्रमांक 3 हनुमाननगर,Zone No. 3,,0.00,5.24,15.21,20.00,7.50,7.50,5.00,20.00,,,
247,A2 Revenue Expenditure,3 Health,Sewerage,A23920130812,क्षेत्रिय कार्यालय क्रमांक 4 धंतोली,Zone No. 4,,0.00,4.24,8.69,20.00,7.50,7.50,5.00,20.00,,,
248,A2 Revenue Expenditure,3 Health,Sewerage,A23925130862,क्षेत्रिय कार्यालय क्रमांक 5 नेहरुनगर,Zone No. 5,,0.00,3.59,14.28,20.00,7.50,7.50,5.00,20.00,,,
249,A2 Revenue Expenditure,3 Health,Sewerage,A23930130812,क्षेत्रिय कार्यालय क्रमांक 6 गांधीबाग,Zone No. 6,,0.00,5.85,7.69,20.00,7.50,7.50,5.00,20.00,,,
250,A2 Revenue Expenditure,3 Health,Sewerage,A23935130862,क्षेत्रिय कार्यालय क्रमांक 7 संतरंजीपुरा,Zone No. 7,,0.00,5.00,15.82,20.00,7.50,7.50,5.00,20.00,,,
251,A2 Revenue Expenditure,3 Health,Sewerage,A23940130812,क्षेत्रिय कार्यालय क्रमांक 8 लकडगंज,Zone No. 8,,0.00,7.09,8.56,20.00,7.50,7.50,5.00,20.00,,,
252,A2 Revenue Expenditure,3 Health,Sewerage,A23945130862,क्षेत्रिय कार्यालय क्रमांक 9 आशीनगर,Zone No. 9,,0.00,3.28,34.86,20.00,7.50,7.50,5.00,20.00,,,
253,A2 Revenue Expenditure,3 Health,Sewerage,A23950130812,क्षेत्रिय कार्यालय क्रमांक 10 मंगळवारी,Zone No. 10,,0.00,7.15,15.32,20.00,7.50,7.50,5.00,20.00,,,
254,A2 Revenue Expenditure,3 Health,Sewerage,A23901330817,भुमीगत नाली चा विस्तार/सुस्थीती/दुरुस्ती करणे ,P.W.D.,,156.11,130.71,205.29,500.00,200.00,200.00,100.00,500.00,,,
255,A2 Revenue Expenditure,3 Health,Sewerage,A23905163,क्षेत्रिय कार्यालय क्रमांक 1 लक्ष्मीनगर,Zone No. 1,,0.00,6.59,25.15,50.00,20.00,20.00,10.00,50.00,,,
256,A2 Revenue Expenditure,3 Health,Sewerage,A23910130813,क्षेत्रिय कार्यालय क्रमांक 2 धरमपेठ,Zone No. 2,,0.00,16.34,31.75,50.00,20.00,20.00,10.00,50.00,,,
257,A2 Revenue Expenditure,3 Health,Sewerage,A23915130863,क्षेत्रिय कार्यालय क्रमांक 3 हनुमाननगर,Zone No. 3,,0.00,6.17,20.48,50.00,20.00,20.00,10.00,50.00,,,
258,A2 Revenue Expenditure,3 Health,Sewerage,A23920130813,क्षेत्रिय कार्यालय क्रमांक 4 धंतोली,Zone No. 4,,0.00,9.63,19.80,50.00,20.00,20.00,10.00,50.00,,,
259,A2 Revenue Expenditure,3 Health,Sewerage,A23925130863,क्षेत्रिय कार्यालय क्रमांक 5 नेहरुनगर,Zone No. 5,,0.00,3.39,11.01,50.00,20.00,20.00,10.00,50.00,,,
260,A2 Revenue Expenditure,3 Health,Sewerage,A23930130813,क्षेत्रिय कार्यालय क्रमांक 6 गांधीबाग,Zone No. 6,,0.00,21.60,18.57,50.00,20.00,20.00,10.00,50.00,,,
261,A2 Revenue Expenditure,3 Health,Sewerage,A23935130863,क्षेत्रिय कार्यालय क्रमांक 7 संतरंजीपुरा,Zone No. 7,,0.00,16.19,18.93,50.00,20.00,20.00,10.00,50.00,,,
262,A2 Revenue Expenditure,3 Health,Sewerage,A23940130813,क्षेत्रिय कार्यालय क्रमांक 8 लकडगंज,Zone No. 8,,0.00,10.95,14.37,50.00,20.00,20.00,10.00,50.00,,,
263,A2 Revenue Expenditure,3 Health,Sewerage,A23945130863,क्षेत्रिय कार्यालय क्रमांक 9 आशीनगर,Zone No. 9,,0.00,24.37,16.10,50.00,20.00,20.00,10.00,50.00,,,
264,A2 Revenue Expenditure,3 Health,Sewerage,A23950130813,क्षेत्रिय कार्यालय क्रमांक 10 मंगळवारी,Zone No. 10,,0.00,15.48,29.13,50.00,20.00,20.00,10.00,50.00,,,
265,A2 Revenue Expenditure,3 Health,Sewerage,A23902330818,"मलनिस्सारण प्रक्रिया केद्र, भांडेवाडी",S.T.P.,,252.61,291.02,370.47,500.00,400.00,400.00,500.00,500.00,,,
266,A2 Revenue Expenditure,3 Health,Sewerage,A23901230819,नाली सुस्थीती/दुरुस्तीकरणे आकस्ीक खर्च,HEALTH (S),,9.54,8.02,11.20,10.00,10.00,10.00,10.00,10.00,,,
267,A2 Revenue Expenditure,3 Health,Sewerage,A23901230820,मलकुंड सुस्थीती/दुरुस्ती करणे ,HEALTH (S),,0.00,0.00,0.00,25.00,2.00,2.00,2.00,25.00,,,
268,A2 Revenue Expenditure,3 Health,Public Health,A23001141001,लोकस्वास्थ सेवेत गुणात्मक सुधारणा व रोगनिदान शिबीर/जनजागृती (1) कन्या भु्रणहत्या निषेधार्थ जनजागृती करति रु. 5 लक्ष राखीव (2) महिला वर्गातील स्तनांचा व गर्भाशय मुखाचा कर्करोगाचे तपासणी शिबिराचे आयोजन करण्याकरिता रु. 10 लक्ष राखीव (3) शहरातील नागरीकांच्या लोकस्वास्थ सेवेत गुणात्मक सुधारणेसाठी सर्व मनपाच्या रुग्णालयात ‘‘इ‘‘ आरोग्य सुविधा निर्माण करण्यासाठी रु. 10 लक्ष राखीव (4) जेष्ठ नागरिकांकरीता रोगनिदान शिबीराचे आयोजन करण्यासाठी रु. 10 लक्ष राहील,HEALTH (M),,12.86,7.98,17.87,30.00,15.00,15.00,10.00,35.00,,,
269,A2 Revenue Expenditure,3 Health,Public Health,A23001141502,शिशु स्वास्थ प्रदर्शनी व जागतिक स्वास्थ दिन व स्वस्थ शिशु स्पर्धा,HEALTH (M),,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,,,
270,A2 Revenue Expenditure,3 Health,Public Health,A23001141603,नागरी प्रजनन व बाल आरोग्य कार्यøम टपपा - 2,HEALTH (M),,64.96,56.32,34.38,20.00,15.00,15.00,15.00,15.00,,,
271,A2 Revenue Expenditure,3 Health,Public Health,A23001141004,सुदामा मित्र योजना (मनोरुग्णांवर उपचार झालयावर त्यांचे पुनर्वसन करणे),HEALTH (M),,0.00,0.00,0.00,50.00,1.00,1.00,1.00,100.00,,,
272,A2 Revenue Expenditure,3 Health,Epidemic/Prevention Control,A23101141905,रेबीज प्रतिबंधनात्मक उपाय,HEALTH (M),,24.45,55.82,32.92,35.00,10.00,10.00,15.00,30.00,,,
273,A2 Revenue Expenditure,3 Health,Epidemic/Prevention Control,A23101141906,मलेरिया प्रतिबंधक व्यय,HEALTH (M),,25.53,19.54,24.13,25.00,25.00,25.00,20.00,35.00,,,
274,A2 Revenue Expenditure,3 Health,Epidemic/Prevention Control,A23101141907,फायलेरिया रोगाचा व्यय,HEALTH (M),,7.06,6.52,21.20,25.00,15.00,15.00,15.00,35.00,,,
275,A2 Revenue Expenditure,3 Health,Epidemic/Prevention Control,A23101141908,हैजा व इतर संक्रमक रोगांचा व्यय,HEALTH (M),,10.51,4.78,4.35,5.00,5.00,5.00,5.00,5.00,,,
276,A2 Revenue Expenditure,3 Health,Primary Health Care,A23301141009,सीटी हेल्थ लाईन,HEALTH (M),,9.94,7.38,13.16,5.00,2.00,2.00,2.00,5.00,,,
277,A2 Revenue Expenditure,3 Health,Primary Health Care,A23301141310,शालेय विद्यार्थ्यांची आरोग्य तपासणी (1) शहरातील माध्यमिक शाळेतील विद्यार्थ्यांसाठी सामान्य स्वास्थ जागृती प्रशिक्षण वर्ग आयोजनासाठी रु. 5.00 लक्ष राखिव,HEALTH (M),,0.00,0.00,0.00,5.00,1.00,1.00,1.00,5.00,,,
278,A2 Revenue Expenditure,3 Health,Cremation and Burial,A23501141211,मोफत अत्यंसंस्कार योजना (अग्निसंस्कारसाठी इंधन) (1) अंबाझरी घाट येथे गोवÚयांचा वापर करुन अग्निसंस्कार करण्याकरीता रु. 50.00 लक्ष राखीव ,HEALTH (M),,226.82,209.43,216.00,300.00,200.00,200.00,200.00,300.00,,,
279,A2 Revenue Expenditure,3 Health,Viral Statistics/NHP/prevention of food adulterations,A23601142012,हेल्थ कार्यøम (1) रोशनी मोतिया बिंदु मुक्त शहर (2) क्षय रोग (3) लेप्रसी,HEALTH (M),,8.80,2.61,2.33,50.00,2.00,2.00,2.00,50.00,,,
280,A2 Revenue Expenditure,3 Health,Water Supply,A23801941013,सर्व्हे ऑफ विश्वैश्वरैया बॅरेजकरीता,WATER WORKS,,0.00,0.00,182.43,75.00,200.00,200.00,100.00,75.00,,,
281,A2 Revenue Expenditure,3 Health,Water Supply,A23801941014,जन जागृती अभियान,PENCH PROJECT CELL,,0.75,0.00,0.00,1.00,1.00,1.00,1.00,1.00,,,
282,A2 Revenue Expenditure,3 Health,Water Supply,A23801941015,पेंच प्रोजेक्ट व जेएनएनयुआरएम बाबत किरकोळ खर्च,WATER WORKS,,9.52,3.78,5.88,10.00,10.00,10.00,10.00,10.00,,,
283,A2 Revenue Expenditure,4 Sanitation and SWM,solid Waste management,A24201210001,साफ सफाई व घनकचरा व्यवस्िापन आस्थापना व्यय,HEALTH (S),,6180.01,6870.68,7735.43,7500.00,7800.00,7800.00,8300.00,8000.00,,,
284,A2 Revenue Expenditure,4 Sanitation and SWM,solid Waste management,A24201210002,रोजंदारी मजुरांची कार्यव्ययी आस्थापना व्यय,HEALTH (S),,2922.68,3071.94,4808.13,3200.00,4400.00,4400.00,4800.00,4800.00,,,
285,A2 Revenue Expenditure,4 Sanitation and SWM,Veterinary Services Management ,A24601110003,प्शु दवाखाना आस्थापना व्यय,HEALTH (M),,9.44,9.42,12.95,12.00,12.00,12.00,10.00,10.00,,,
286,A2 Revenue Expenditure,4 Sanitation and SWM,Cattle Pound,A24701010004,कोंडवाडा आस्थापना व्यय,CATTELE POUND HELTH (S),,40.49,49.06,50.66,45.00,40.00,40.00,40.00,40.00,,,
287,A2 Revenue Expenditure,4 Sanitation and SWM,City Sanitation,A24001221301,सफाई कामगारांना विमा अनुदान,HEALTH (S),,0.00,0.00,0.00,2.00,2.00,2.00,2.00,2.00,,,
288,A2 Revenue Expenditure,4 Sanitation and SWM,City Sanitation,A24001220702,सफाई मजूरांचा गणवेश,HEALTH (S),,4.14,50.16,7.15,25.00,5.00,5.00,5.00,25.00,,,
289,A2 Revenue Expenditure,4 Sanitation and SWM,City Sanitation,A24001222003,आरोग्य स्वच्छता विभगाचा प्रशासकीय व प्रवर्तन व्यय,HEALTH (S),,34.81,19.28,34.88,25.00,10.00,10.00,15.00,25.00,,,
290,A2 Revenue Expenditure,4 Sanitation and SWM,City Sanitation,A24001222004,सफाई साहित्य खरेदी,HEALTH (S),,19.28,20.89,19.91,20.00,20.00,20.00,20.00,20.00,,,
291,A2 Revenue Expenditure,4 Sanitation and SWM,Cattle Pound,A24701022005,जनावरांचा खुराक/मोकाट जनावरे पकडणे व साहित्य खरेदी,CATTELE POUND HELTH (S),,6.30,3.96,8.46,5.00,5.00,5.00,5.00,10.00,,,
292,A2 Revenue Expenditure,4 Sanitation and SWM,solid Waste Transportation ,A24101231701,कचÚयाची वाहतुक,HEALTH (S),,2260.70,2583.52,3469.17,2800.00,3500.00,3400.00,3900.00,3500.00,,,
293,A2 Revenue Expenditure,4 Sanitation and SWM,solid Waste Transportation ,A24101230802,व्हील बॅरेज/घंटा गाडी दुरुस्ती,HEALTH (S),,9.13,20.95,5.13,5.00,5.00,5.00,5.00,5.00,,,
294,A2 Revenue Expenditure,4 Sanitation and SWM,Public convenience toilet,A24501232003,लोक संडास साहित्य खरेदी,HEALTH (S),,7.14,5.99,7.60,4.00,4.00,4.00,4.00,4.00,,,
295,A2 Revenue Expenditure,4 Sanitation and SWM,Public convenience toilet,A24501330804,सार्वजनीक संडासाची सुस्थिती व दुरुस्ती,P.W.D.,,11.05,0.69,1.97,10.00,5.00,5.00,5.00,10.00,,,
296,A2 Revenue Expenditure,4 Sanitation and SWM,Public convenience toilet,A24505130864,क्षेत्रिय कार्यालय क्रमांक 1 लक्ष्मीनगर,Zone No. 1,,0.00,0.00,0.00,1.00,0.50,0.50,0.50,1.00,,,
297,A2 Revenue Expenditure,4 Sanitation and SWM,Public convenience toilet,A24510130814,क्षेत्रिय कार्यालय क्रमांक 2 धरमपेठ,Zone No. 2,,0.00,0.69,0.00,1.00,0.50,0.50,0.50,1.00,,,
298,A2 Revenue Expenditure,4 Sanitation and SWM,Public convenience toilet,A24515130864,क्षेत्रिय कार्यालय क्रमांक 3 हनुमाननगर,Zone No. 3,,0.00,0.00,0.00,1.00,0.50,0.50,0.50,1.00,,,
299,A2 Revenue Expenditure,4 Sanitation and SWM,Public convenience toilet,A24520130814,क्षेत्रिय कार्यालय क्रमांक 4 धंतोली,Zone No. 4,,0.00,0.00,0.98,1.00,0.50,0.50,0.50,1.00,,,
300,A2 Revenue Expenditure,4 Sanitation and SWM,Public convenience toilet,A24525130864,क्षेत्रिय कार्यालय क्रमांक 5 नेहरुनगर,Zone No. 5,,0.00,0.00,0.00,1.00,0.50,0.50,0.50,1.00,,,
301,A2 Revenue Expenditure,4 Sanitation and SWM,Public convenience toilet,A24530130814,क्षेत्रिय कार्यालय क्रमांक 6 गांधीबाग,Zone No. 6,,0.00,0.00,0.49,1.00,0.50,0.50,0.50,1.00,,,
302,A2 Revenue Expenditure,4 Sanitation and SWM,Public convenience toilet,A24535130864,क्षेत्रिय कार्यालय क्रमांक 7 संतरंजीपुरा,Zone No. 7,,0.00,0.00,0.00,1.00,0.50,0.50,0.50,1.00,,,
303,A2 Revenue Expenditure,4 Sanitation and SWM,Public convenience toilet,A24540130814,क्षेत्रिय कार्यालय क्रमांक 8 लकडगंज,Zone No. 8,,0.00,0.00,0.00,1.00,0.50,0.50,0.50,1.00,,,
304,A2 Revenue Expenditure,4 Sanitation and SWM,Public convenience toilet,A24545130864,क्षेत्रिय कार्यालय क्रमांक 9 आशीनगर,Zone No. 9,,0.00,0.00,0.50,1.00,0.50,0.50,0.50,1.00,,,
305,A2 Revenue Expenditure,4 Sanitation and SWM,Public convenience toilet,A24550130814,क्षेत्रिय कार्यालय क्रमांक 10 मंगळवारी,Zone No. 10,,0.00,0.00,0.00,1.00,0.50,0.50,0.50,1.00,,,
306,A2 Revenue Expenditure,4 Sanitation and SWM,Veterinary Services Management ,A24601130805,पशुदवाखाना प्रवर्तन व्यय,HEALTH (M),,0.95,0.12,0.50,1.00,1.00,1.00,1.00,1.00,,,
307,A2 Revenue Expenditure,4 Sanitation and SWM,Veterinary Services Management ,A24601232006,डुकरांचा बंदोबस्त करण्यासाठी येणारा व्यय,HEALTH (S),,0.00,0.00,0.49,0.50,0.50,0.50,0.50,0.50,,,
